STREET,sold_price,RoadClosureDate,Lat,Long
AIKEN ST,511500,4,32.7959911,-79.9368393
ALEXANDER ST,800000,2,32.7898545,-79.9310545
ALLWAY ST,150000,1,32.7891516,-79.953403
AMERICA ST,454897.5,17,32.8003533,-79.9385141
ANSON ST,1395000,1,32.7822773,-79.9291781
ASHLEY AVE,535000,79,32.7753008,-79.9411776
ASHLEY CROSSING DR,225000,1,32.8190219,-80.0415454
ASHTON ST,435000,1,32.7883147,-79.9535816
BARRE ST,1575000,31,32.7813852,-79.9470735
BEAUFAIN ST,625000,28,32.7805855,-79.9355669
BEE ST,417250,7,32.7845043,-79.9558195
BENNETT ST,910000,15,32.7820282,-79.944791
BOGARD ST,601500,8,32.7906145,-79.9506604
BROAD ST,1302500,24,32.7758702,-79.9373185
BULL ST,786025,9,32.7815502,-79.9428187
CALHOUN ST,554500,51,32.7818847,-79.950352
CANNON ST,734950,11,32.7868147,-79.9522996
CHARLOTTE ST,952550,1,32.7906193,-79.9293036
CHISOLM ST,920000,9,32.7753272,-79.9421658
CHURCH ST,2456250,2,32.7760087,-79.9291879
COLONIAL ST,1230000,8,32.7755647,-79.9405398
COMING ST,562500,7,32.788565,-79.9416207
CONCORD ST,650000,5,32.780201,-79.9257314
COOL BLOW ST,292500,3,32.8058058,-79.9450967
COOPER ST,560000,1,32.7986937,-79.9374827
CORDES ST,1650000,1,32.7781433,-79.9261448
CUMBERLAND ST,460000,3,32.7800985,-79.9270415
DRAKE ST,184375,8,32.7931659,-79.9328927
ELIZABETH ST,810000,1,32.7896277,-79.9339334
FISHBURNE ST,543500,46,32.7905845,-79.9589896
GADSDEN ST,806000,26,32.7793674,-79.945014
GEORGE ST,640000,2,32.784931,-79.9337431
GIBBES ST,1390000,1,32.7727713,-79.9391523
GILLON ST,1325000,1,32.7771049,-79.9266725
GORDON ST,445000,8,32.8043331,-79.9566188
GROVE ST,555000,1,32.8021956,-79.95932
HAGOOD AVE,275000,71,32.7886628,-79.9549408
HALSEY ST,740000,3,32.7821219,-79.9465172
HANOVER ST,435644,5,32.8031956,-79.942308
HASELL ST,512500,7,,
HUGER ST,672771.505,20,32.7967897,-79.9551473
ISABELLA ST,275000,2,32.8085808,-79.9461303
KING ST,825000,44,32.7992926,-79.9473147
LAURENS ST,1375000,2,32.7859914,-79.9297933
LINE ST,442500,6,32.7970111,-79.9383151
LOCKWOOD DR,58500,73,32.7875685,-79.959175
LOGAN ST,862500,4,32.7741428,-79.9356132
MAPLE ST,615000,1,32.7827789,-79.9855335
MARION ST,717500,1,32.7883144,-79.9436121
MEETING ST,552500,4,32.8300319,-79.9523193
MONTAGU ST,972500,5,32.7804677,-79.9422248
MORRIS ST,590000,4,32.7891664,-79.943
MOULTRIE ST,546250,1,32.7870601,-79.8630133
MURRAY BLVD,3165000,8,32.7699209,-79.9364005
NEW ST,1975000,1,32.7739015,-79.9381087
NORMAN ST,550000,1,32.7885238,-79.9518884
OGIER ST,431500,13,32.7843479,-79.9437222
PERRY ST,534250,2,32.7948337,-79.9482654
PIEDMONT AVE,599000,1,32.8074772,-79.9572995
PITT ST,670000,5,32.7826588,-79.9400185
PRESIDENT ST,587500,30,32.7912934,-79.95226
PRIOLEAU ST,1500000,1,32.7777144,-79.9261027
QUEEN ST,695000,1,32.77853,-79.9280586
RADCLIFFE ST,645000,2,32.78796,-79.9421534
ROMNEY ST,295000,5,32.8064882,-79.9491802
RUTLEDGE AVE,580000,53,32.8152456,-79.9545318
RUTLEDGE BLVD,845000,1,,
RUTLEDGE ST,495000,2,32.77660205,-79.93365898
S BATTERY ST,680000,6,32.772135,-79.9395556
SAINT PHILIP ST,797000,1,32.7835235,-79.9365751
SAVAGE ST,888750,1,32.7757008,-79.9373223
SHEPPARD ST,377500,11,32.7942284,-79.9474722
SMITH ST,650000,11,32.784733,-79.9428919
SOCIETY ST,988000,1,32.7834683,-79.9334158
SOUTH ST,375000,3,32.7931914,-79.934625
SPRING ST,684250,10,32.7876301,-79.9528322
STATE ST,1195000,1,32.7792739,-79.9282002
SUMTER ST,611250,3,32.7967309,-79.9478239
THOMAS ST,922000,1,32.7867912,-79.9428035
TRADD ST,1479719.5,2,32.7732754,-79.9429453
VANDERHORST ST,603750,8,32.7860826,-79.9418604
VENDUE RANGE,325000,4,32.7788389,-79.9262044
WARREN ST,863000,1,32.7873039,-79.9408139
WENTWORTH ST,745000,39,32.7794347,-79.9416505
