OBJECTID,IS_DRILL,STREET,REASON,TYPE,SOURCE,RoadClosureDate,RoadClosureEnd,INCIDENT_DATE,YEAR,RoadClosureHours,CommuteHours,TideDate,MinsUntilTide,FloodRisk,NearestHighLowTide,MaxTide,TideType,Closest6MinTideHeight,MoonPhase,MoonPhaseDesc,DailyPrecipitation_Downtown,DailyPrecipitationCat_Downtown,Fastest2minWindDir_Dwntwn,Fastest2minWindSpeed_Dwntwn,Fastest2minWindDirDesc_Dwntwn,FloodReason_6MIN,FloodReason_Day,EventName,Shape__Length
1,,SEPTIMA P CLARK PKWY,FLOOD,CLOSED,Charleston PD,,2017/09/12 03:45:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,5.971634638587
2,No,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,,2019/12/24 06:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,393.033424865274
3,,COUNCIL ST,FLOOD,CLOSED,Charleston PD,,2022/09/30 17:33:14+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,213.176532579539
4,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,,2022/10/06 20:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,275.774017992238
5,,FISHBURNE ST,FLOOD,CLOSED,Charleston PD,,2019/02/20 10:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,552.914147188012
6,,CENTRAL PARK RD,FLOOD,WARNING,Charleston PD,,2021/11/05 12:15:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,276.787082742469
7,,FISHBURNE ST,FLOOD,CLOSED,Charleston PD,,2022/10/31 15:34:53+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,136.801489381557
8,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,,2021/06/04 22:23:43+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,690.925250220158
9,,WASHINGTON ST,FLOOD,CLOSED - PARTIAL,Charleston PD,,2021/04/24 21:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,364.669271135648
10,No,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,,2019/12/24 06:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,160.279569253548
11,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,,2019/02/20 10:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,828.956857676585
12,,CHERRY ST.,FLOOD,CLOSED,Charleston PD,,2021/11/05 12:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,392.866553776019
13,,LOCKWOOD DR,FLOOD,WARNING,Charleston PD,,2021/06/05 01:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,802.536295097164
14,,KING ST,FLOOD,CLOSED,Charleston PD,,2021/06/04 22:24:15+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,835.289569956306
15,,S MARKET ST,FLOOD,CLOSED,Charleston PD,,2021/06/04 21:14:25+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,467.254368119028
16,,SAINT ANDREWS BLVD RAMP,FLOOD,CLOSED,Charleston PD,,,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,109.56274567073
17,No,SHEPPARD ST,FLOOD,CLOSED,Charleston PD,,2019/12/24 06:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,98.3635146483052
18,No,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,,2019/12/24 06:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,318.839483364879
19,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,,2022/09/30 18:49:46+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,325.281184913978
20,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,,,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,233.840847429622
21,,ASHLEY RIVER RD,FLOOD,CLOSED,Charleston PD,,2016/10/09 05:50:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,297.67703665068
22,,CANNON PARK,FLOOD,CLOSED,Charleston PD,,2021/06/05 03:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,525.030937531603
23,,CHERRY ST,FLOOD,CLOSED,Charleston PD,,2022/01/05 10:10:04+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,120.485174838823
24,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,,2022/10/31 15:34:40+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,354.801981111603
25,,HUGER ST  ,FLOOD,CLOSED,Charleston PD,,2022/07/23 03:10:01+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,528.658435302237
26,,BARRE ST,FLOOD,CLOSED,Charleston PD,,2021/06/05 03:00:00+00,,,,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,397.827114636487
27,,NICHOLSON ST,FLOOD,CLOSED,Charleston PD,1970/01/01 15:00:00+00,2018/07/20 09:00:00+00,1970/01/01,1970,425562,Non-Commute,,,,,,,,,Other Moon,,,,,N,Low Tide / No Rain,Low Tide / No Rain,,60.1981946950492
28,,BULL ST,FLOOD,CLOSED,Charleston PD,2015/08/31 00:00:00+00,,2015/08/31,2015,,Non-Commute,2015/08/31 03:42:00+00,222,None,-0.09,6.839,Low,4.956,0.53,Full Moon,1.55,">1"" and <2""",170,19,S,Non-High Tide / Rain,High Tide / Rain,,110.563988248595
29,,CHISOLM ST,FLOOD,CLOSED,Charleston PD,2015/08/31 00:00:00+00,,2015/08/31,2015,,Non-Commute,2015/08/31 03:42:00+00,222,None,-0.09,6.839,Low,4.956,0.53,Full Moon,1.55,">1"" and <2""",170,19,S,Non-High Tide / Rain,High Tide / Rain,,267.355057172067
30,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/08/31 04:00:00+00,,2015/08/31,2015,,Non-Commute,2015/08/31 03:42:00+00,-18,None,-0.09,6.839,Low,-0.038,0.53,Full Moon,1.55,">1"" and <2""",170,19,S,Non-High Tide / Rain,High Tide / Rain,,200.025605962444
31,,COMING ST,FLOOD,CLOSED,Charleston PD,2015/08/31 14:27:45+00,2015/08/31 14:27:49+00,2015/08/31,2015,0,Non-Commute,2015/08/31 16:06:00+00,99,None,-0.478,6.839,Low,0.871,0.53,Full Moon,1.55,">1"" and <2""",170,19,S,Non-High Tide / Rain,High Tide / Rain,,148.81836361149
32,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),217.153574775675
33,,AMERICA ST,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),83.478425461019
34,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),189.007384840748
35,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),350.731801030563
36,,COMING ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),148.81836361149
37,,BENNETT ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),441.982568278116
38,,DRAKE ST,FLOOD,CLOSED,Charleston PD,2015/10/02 00:00:00+00,,2015/10/02,2015,,Non-Commute,2015/10/02 05:48:00+00,348,None,1.652,7.659,Low,6.98,0.63,Other Moon,1.41,">1"" and <2""",350,19,N,High Tide / Rain,High Tide / Rain,Joaquin (Historic Flooding),155.122878260033
